movieId,imdbId
1,tt29420686
2,tt9184994
3,tt18482892
4,tt4052886
5,tt13309742
6,tt9184986
7,tt11514868
8,tt8855592
9,tt0099810
10,tt0114369
11,tt0898266
12,tt0112573
13,tt3230854
14,tt0121955
15,tt2294629
16,tt0243155
17,tt3498820
18,tt2395427
19,tt0103064
20,tt5127398
21,tt1927077
22,tt5268648
23,tt0109830
24,tt0470752
25,tt1205489
26,tt7133554
27,tt1440129
28,tt1517451
29,tt1535109
30,tt2278388
31,tt2095008
32,tt2911666
33,tt2707408
34,tt0362227
35,tt1798709
36,tt2582802
37,tt0458352
38,tt6468322
39,tt2442560
40,tt4857264
41,tt1772250
42,tt1201607
43,tt4154796
44,tt1790864
45,tt10323338
46,tt7235466
47,tt22091076
48,tt3581920
49,tt32360916
50,tt1485796
51,tt1520211
52,tt4574334
53,tt26743210
54,tt2953050
55,tt3521164
56,tt2015381
57,tt1160419
58,tt11240506
59,tt0371746
60,tt1228705
61,tt1300854
62,tt9114286
63,tt2380307
64,tt0108052
65,tt0110912
66,tt0118884
67,tt0081505
68,tt0368226
69,tt5753856
70,tt2488496
71,tt0164184
72,tt1649444
73,tt0455275
74,tt0773262
75,tt31938062
76,tt13833688
77,tt10919420
78,tt31806037
79,tt2085059
80,tt2372162
81,tt12841318
82,tt0120689
83,tt10886166
84,tt8649186
85,tt17351924
86,tt0117500
87,tt3262342
88,tt27729779
89,tt0137523
90,tt1856101
91,tt15435876
92,tt11315808
93,tt13287846
94,tt8793970
95,tt3398228
96,tt0141842
97,tt0386676
98,tt4955642
99,tt0330243
100,tt6524350
101,tt4998212
102,tt13649112
103,tt7335184
104,tt8740976
105,tt2322441
106,tt2267998
107,tt6487482
108,tt5905354
109,tt0111161
110,tt0073486
111,tt0138704
112,tt1059786
113,tt0414993
114,tt0071615
115,tt0397101
116,tt35503291
118,tt9506474
119,tt0244244
120,tt1375666
121,tt0133093
122,tt4805316
123,tt0102926
124,tt7286456
125,tt0119217
126,tt0454921
127,tt0816692
128,tt0180093
129,t0119099
130,tt4285496
131,tt0119174
132,tt0088083
133,tt0289879
134,tt0488604
135,tt0381637
136,tt0393162
137,tt0936501
138,tt0272152
139,tt1823672
140,tt0343818
141,tt0142688
142,tt0258463
143,tt1219289
144,tt2872732
145,tt0120382
146,tt0401792
147,tt0434409
148,tt0361862
149,tt0454848
150,tt0075148
151,tt0062622
152,tt0878804
153,tt0230600
154,tt2096673
155,tt15398776
156,tt0083658
157,tt0960890
158,tt0080391
159,tt1633359
160,tt1034314
161,tt3977848
162,tt0115243
163,tt0090849
164,tt0765488
165,tt0140581
166,tt0096310
167,tt17526714
168,tt22408160
169,tt14230458
170,tt14998742
172,tt1517268
173,tt0097100
174,tt4034354
175,tt6710474
176,tt0084424
177,tt0070013
178,tt13723064
179,tt2584384
180,tt3877674
181,tt7131622
182,tt2358891
183,tt6751668
184,tt6158692
185,tt4426738
186,tt0117715
187,tt0228687
188,tt0052077
189,tt6304162
190,tt3908142
191,tt2802144
192,tt2543164
193,tt0426459
194,tt0085792
195,tt1596363
196,tt3464902
197,tt0379217
198,tt0116282
199,tt3397884
200,tt2562232
201,tt2802154
202,tt0851578
203,tt008390
204,tt2119532
205,tt0944947
206,tt1632701
207,tt1675434
208,tt28688946
209,tt2282829
210,tt0126029
211,tt1119646
212,tt0175142
213,tt0412142
214,tt1877830
215,tt0903747
216,tt0116483
217,tt0142342
218,tt1637725
219,tt1564367
220,tt0822832
221,tt0315327
222,tt1723121
223,t2713180
224,tt0076759
225,tt0145487
226,tt15314262
227,tt2076822
228,tt8946378
229,tt14114802
231,tt6823368
232,tt5155780
233,tt12747748
234,tt10954652
235,tt1179933
236,tt15257160
237,tt14138650
238,tt9016974
239,tt21308888
240,tt4287320
241,tt11286314
242,tt10366206
243,tt8228288
244,tt2039338
245,tt1758810
247,tt3317234
248,tt6723592
249,tt10132196
250,tt14063678
251,tt1677720
252,tt8738964
253,tt1302006
254,tt3774114
255,tt0435651
256,tt1648190
257,tt1355644
258,tt4276820
259,tt0121766
260,tt1398426
261,tt5040012
262,tt5180504
263,tt2306299
264,tt0848228
265,tt0270846
266,t5056154
267,tt5697572
268,tt0040647
269,tt2531336
271,tt0088763
272,tt15789472
273,tt2353868
274,tt0810071
275,tt0065908
276,tt0120338
277,tt0499549
278,tt0232500
279,tt0425622
280,tt0878113
282,tt1392190
283,tt12869276
284,tt1365519
285,tt0213149
286,tt0356634
287,tt0266543
288,tt0314134
289,tt0190506
290,tt0238119
