userId,movieId,rating
1,1,9
1,2,8
1,3,9
1,4,3
1,5,9
1,6,9
1,7,7
1,8,8
1,9,10
1,10,10
1,11,8
1,12,10
1,13,7
1,14,9
1,15,5
1,16,6
1,17,3
1,18,2
1,19,9
1,20,7
1,21,7
1,22,2
1,23,10
1,24,10
1,25,9
1,26,1
1,27,1
1,28,2
1,29,9
1,30,9
1,31,1
1,32,7
1,33,10
1,34,8
1,35,8
1,36,10
1,37,9
1,38,8
1,39,9
1,40,9
1,41,10
2,15,4
2,42,9
2,43,9
2,44,6
2,45,9
2,46,9
2,47,8
2,48,7
2,49,7
2,50,10
2,51,7
2,52,8
2,53,10
2,54,7
2,55,8
2,56,10
2,57,8
2,58,1
2,59,4
2,60,5
2,61,5
2,62,10
2,63,8
3,64,9
3,65,10
3,66,7
3,67,8
3,68,2
3,69,6
3,70,3
3,71,5
3,72,1
3,57,6
3,4,4
4,73,8
4,74,8
4,75,8
4,76,10
4,77,3
4,78,7
4,79,10
4,80,7
4,81,2
4,82,9
4,83,1
4,84,9
4,85,7
4,69,10
5,86,9
5,87,9
5,88,4
5,89,9
5,90,10
5,91,8
5,92,3
5,93,4
6,95,8
6,96,10
6,97,10
6,98,2
6,99,10
6,100,2
6,101,1
6,102,7
6,103,10
6,104,8
6,105,1
6,106,10
6,107,4
6,108,8
6,1,8
6,6,8
6,7,7
6,16,10
7,109,10
7,110,9
7,111,8
7,112,9
7,113,6
7,114,5
7,115,6
7,116,6
7,89,8
7,118,5
7,119,6
7,120,6
7,121,8
7,122,4
7,123,6
7,124,5
7,125,7
7,126,4
7,127,6
7,128,6
7,129,8
7,130,9
7,131,6
7,132,10
7,133,6
7,134,5
7,135,5
7,136,6
7,137,5
7,138,8
7,139,7
7,140,7
7,141,6
7,142,7
7,143,5
7,144,6
7,145,5
7,146,5
7,147,5
7,148,6
7,149,5
7,150,5
7,151,9
7,152,4
7,153,7
7,154,4
7,155,6
7,156,6
7,24,8
7,35,7
7,106,5
8,157,8
8,158,7
8,159,9
8,160,8
8,161,7
8,162,8
8,163,6
8,164,8
8,165,7
8,166,6
8,167,9
8,168,9
8,169,8
8,170,2
8,56,8
8,172,2
8,173,9
8,174,10
8,175,9
8,176,4
8,177,6
8,178,6
8,179,9
8,180,10
8,181,8
8,182,8
8,183,9
8,184,5
8,185,6
8,186,8
8,187,9
8,188,5
8,189,9
8,190,8
8,191,10
8,192,10
8,193,7
8,194,6
8,195,8
8,196,7
8,197,9
8,198,9
8,199,9
8,200,9
8,201,10
8,202,9
8,203,6
8,24,9
8,146,6
8,114,9
8,155,7
9,204,10
9,205,9
9,206,9
9,207,8
9,208,1
9,209,1
9,25,9
9,109,9
9,38,7
9,94,2
9,172,2
9,83,2
10,210,10
10,211,10
10,212,3
10,213,9
10,214,7
10,215,9
10,216,10
10,217,9
10,218,10
10,219,9
10,220,9
10,221,10
10,222,9
10,223,8
10,224,3
10,225,2
10,1,8
10,89,10
10,127,7
10,32,9
10,120,7
10,2,6
10,207,8
10,20,7
11,226,6
11,227,6
11,228,6
11,229,8
11,175,4
11,231,7
11,232,7
11,233,7
11,234,7
11,235,7
11,236,8
11,237,7
11,238,5
11,239,6
11,240,7
11,241,8
11,242,6
11,243,8
11,244,5
11,245,7
11,202,8
11,247,2
11,248,7
11,249,1
11,250,7
11,251,6
11,252,5
11,253,7
11,254,7
11,255,7
11,256,5
11,257,6
11,258,7
11,76,7
11,79,9
11,196,3
11,40,8
11,155,7
11,169,7
11,120,10
11,57,8
12,259,10
12,260,8
12,261,3
12,262,2
12,39,10
12,215,10
13,263,9
13,264,9
13,265,2
13,266,3
13,267,3
13,268,2
13,215,4
13,4,10
13,73,8
13,52,8
13,150,9
14,269,9
14,150,10
14,39,10
14,262,9
14,52,8
14,1,3
14,172,2
14,20,2
14,206,1
14,77,1
15,270,9
15,271,9
15,272,6
15,273,7
15,274,9
15,275,6
15,276,5
15,277,8
15,278,6
15,279,5
15,280,4
15,187,2
15,282,8
15,283,3
15,284,8
15,285,8
15,286,4
15,287,8
15,288,1
15,289,9
15,290,10
15,52,9
15,207,9
15,24,9
15,32,8
15,83,1
15,215,7
15,82,9
15,73,7
15,120,10
15,127,9
15,38,9
15,77,2
15,2,9
15,23,10
15,1,8
15,109,9
15,210,7
15,74,5
15,19,7
15,243,3
